"","p_value_mix_compsym"
"EIF3I",0.000226305823625927
"UXT",0.0109373737880121
"AGO1",0.0899343125577201
"SLC2A5",0.0553657249018908
"C19orf53",0.00874641019161471
"FBXW4",0.151099958450152
"GALM",0.00428401874464102
"USP5",0.0745384145709755
"CIR1",1.78373442792923e-05
"LPIN1",9.57012247226885e-14
"RNASET2",0.0456996990705975
"ECHDC2",1.64330379470723e-06
"MKRN1",8.75248183662691e-06
"MED30",1.20721150258518e-05
"PCMT1",5.61502751805776e-06
"HSD17B7",0.0023312182357702
"DMTN",0.00180574488050955
"TPGS2",4.17006828161703e-05
"ACTA2",1.02606811935857e-12
"MLF2",4.83171822551753e-08
"PID1",0.00698245022948774
"PROS1",4.84183566573648e-08
"SAMM50",0.0640875508567718
"TOB1",1.05004893669047e-12
"TNFRSF10C",0.000251916964626786
"KRT73",5.08440047397585e-06
"FAM198B",0.00023238187747765
"ATF4",0.000227287477701399
"ATP5F1",0.000769286799268354
"CXCL16",2.46802578374172e-12
"ZC3H12A",9.24758492004685e-10
"PIGY",0.000755341950446797
"CRYZ",1.88961530867005e-08
"TMED7",0.000294157306044984
"PTPRCAP",2.33778930112116e-05
"SMARCA2",1.82994730479891e-11
"QDPR",0.00966656962296786
"RPL11",1.85254902862475e-07
"DNAJA1",0.0170316194078302
"DPYSL2",4.41006786644493e-10
"PDXK",0.545514601552884
"MYO9B",0.00372598359494491
"SEMA4B",1.24569920607609e-05
"MTURN",0.00954773036968826
"PKM",8.08986902245401e-06
"MBP",0.0278641045794987
"SP110",0
"SLC20A1",8.62310223226359e-12
"CA5B",1.27292529850109e-08
"SSH2",0.00460198788325761
"ZNF562",0.00385015316772575
"CRCP",0.00344963693723166
"EP400",0.00407144093465783
"DPP9",4.76693646556114e-07
"TSEN34",0.000140813102252668
"F2RL1",1.82611123111798e-07
"ZBTB33",5.36610489376699e-09
"PCBP1",0.0581945530941326
"AIMP2",0.000231387532249383
"RHOC",5.16555576091093e-10
"RPL23AP64",0.0216831779100266
"IFITM2",4.6442570833527e-07
"ADGRE5",1.26733401550894e-09
"FBXL5",0.200276565113092
"TBCD",0.0001935950849139
"FAM13B",0.000326981918518543
"PGM2",2.667250642574e-09
"SLC6A6",2.02385015218853e-05
"YIPF3",1.99953248070095e-07
"GATAD2A",0.000944852111580019
"HSP90AB1",0.0207511518190217
"CDV3",0.00016348923388998
"HSD17B4",0.00112587463185887
"TRMT5",0.000784955743079241
"KHSRP",0.00437313923899785
"MAT2B",5.52233405226588e-07
"NUP205",0.310285593876264
"ATIC",0.151576443341965
"H2AFY",0.52301226038365
"CTSD",0.000101115419208764
"COL8A2",0.00382460835509002
"OAS2",2.22044604925031e-16
"TOMM7",3.60377039401172e-05
"BIN1",2.86825836415261e-08
"IL10",0.1383999648337
"HSPB1",0.550702796952824
"TFRC",1.82294533246363e-07
"NCKAP1L",0.000299166566692044
"YWHAQ",5.64278520576167e-06
"APMAP",2.01371429585651e-05
"ZNF143",0.767886915231904
"TMEM71",4.90810647679751e-09
"TM9SF4",2.63977337144894e-06
"SH2D3C",6.60050858414252e-09
"VNN1",0.00678880008552174
"CLTB",0.303049914661433
"UBE2H",0.00931047560746934
"CXCR6",0.0399318770398781
"IRF7",0
"NMRK1",0.00347089480310925
"CIRBP",0.00745568310644606
"MTHFD2",0.0280281776616051
"SF3B1",4.31304795878162e-06
"OASL",5.61217738948017e-13
"ZAP70",6.70076577891088e-07
"MFSD10",0.0401101603871816
"SEPT5",0.0436577358610697
"C19orf35",0.00105029579515348
"ANO6",1.44332795604107e-06
"TMEM51",0
"PRMT2",3.7352622928033e-06
"UBA6",4.16506503064795e-07
"HSD17B11",0.00543022568213991
"DDX17",2.5468807797302e-05
"ME2",0.00038039967675263
"RETN",0.0197647646851131
"GAPT",0.000140507923449329
"NDUFA7",0.000188524230159359
"NAGPA",0.0312075750772836
"MYADM",0.00440592012252394
"LIMS1",1.25536240958013e-07
"ZFP36L1",3.60766942082424e-05
"EEF1B2",0.00115659776088073
"XKR8",9.83885195537937e-11
"NT5M",0.338440553890533
"PPFIBP2",0.128318068417964
"IBTK",2.31660313154691e-09
"UBE4B",0.0251585233088051
"WDR1",0.415903622112735
"MYL12A",0.788089298905015
"ARRB2",1.45919486160828e-06
"ANKRD9",0.0373906588719399
"IFNGR1",2.66401793957982e-08
"SP1",1.75843084204708e-06
"MRPS26",0.360023275440378
"STK26",1.11022302462516e-16
"MTMR3",7.07264883670344e-05
"RALB",3.44548796986643e-05
"ATP5G1",0.00061730459353726
"TAGAP",0.146409679242793
"WDFY1",6.29924858364106e-06
"MRPL11",0.0060771835743697
